Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","511","Population totale","2501","Population","2013","2013","1000 personnes","30552","","Donnée officielle"
"FBS","Bilans Alimentaires","202","Afrique du Sud","511","Population totale","2501","Population","2013","2013","1000 personnes","52776","","Donnée officielle"
"FBS","Bilans Alimentaires","3","Albanie","511","Population totale","2501","Population","2013","2013","1000 personnes","3173","","Donnée officielle"
"FBS","Bilans Alimentaires","4","Algérie","511","Population totale","2501","Population","2013","2013","1000 personnes","39208","","Donnée officielle"
"FBS","Bilans Alimentaires","79","Allemagne","511","Population totale","2501","Population","2013","2013","1000 personnes","82727","","Donnée officielle"
"FBS","Bilans Alimentaires","7","Angola","511","Population totale","2501","Population","2013","2013","1000 personnes","21472","","Donnée officielle"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","511","Population totale","2501","Population","2013","2013","1000 personnes","90","","Donnée officielle"
"FBS","Bilans Alimentaires","194","Arabie saoudite","511","Population totale","2501","Population","2013","2013","1000 personnes","28829","","Donnée officielle"
"FBS","Bilans Alimentaires","9","Argentine","511","Population totale","2501","Population","2013","2013","1000 personnes","41446","","Donnée officielle"
"FBS","Bilans Alimentaires","1","Arménie","511","Population totale","2501","Population","2013","2013","1000 personnes","2977","","Donnée officielle"
"FBS","Bilans Alimentaires","10","Australie","511","Population totale","2501","Population","2013","2013","1000 personnes","23343","","Donnée officielle"
"FBS","Bilans Alimentaires","11","Autriche","511","Population totale","2501","Population","2013","2013","1000 personnes","8495","","Donnée officielle"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","511","Population totale","2501","Population","2013","2013","1000 personnes","9413","","Donnée officielle"
"FBS","Bilans Alimentaires","12","Bahamas","511","Population totale","2501","Population","2013","2013","1000 personnes","377","","Donnée officielle"
"FBS","Bilans Alimentaires","16","Bangladesh","511","Population totale","2501","Population","2013","2013","1000 personnes","156595","","Donnée officielle"
